"good development!","Отличная разработка"
"No","Не нет, а да"
"MK Siteblocks","MK Сайтблоки"
"Siteblocks","Сайтблоки"
"Settings","Настройки"
"Enabled","Включён"
"Siteblocks on Page","Количество сайтблоков на выводе"
"Yes","Да"
"No","Нет"
"Siteblock count","Количество сайтблоков"
"Count of blocks on one output","Количество сайтблоков, выводимых на сайте"
"Raw Text","Текст"
"Some additional text","Произольная текстовая заметка"
"text","Перевод текста"
"Add New Siteblock","Добавить новый сайтблок"
"Title","Заголовок"
"Status","Включен"
"Date Created","Дата создания"
"Save Siteblock","Сохранить"
"Delete Siteblock","Удалить"
"Save and Continue Edit","Сохранить и продолжить"
"Edit Siteblock '%s'","Редактировать сайтблок '%s'"
"Reset","Сбросить все поля"
"Back","Назад"
"New Siteblock","Новый сайтблок"
"Siteblock Information","Информация"
"General Information","Основная информация"
"Block Title","Заголовок"
"Siteblock Status","Включен"
"Content","Содержание"
"Siteblock was created successfully","Сайтблок создан!"
"Siteblock was updated successfully","Сайтблок редактирован!"
"Can not be saved siteblock.","Сайтблок не может быть сохранён."
"Siteblock was deleted.","Сайтблок удалён."
"Siteblocks were deleted!","Сайтблоки удалены!"
"Siteblocks were updated!","Статус сайтблоков изменён!"
"Delete","Удалить"
"Are you sure delete selected items?","Удалить выделенные сайтблоки?"
"Update status","Изменить статус"
"Please select items.","Пожалуйста, выберете сайтблоки."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
